City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,24.19,87,45,1.79,EC,1692497555
1,adamstown,-25.066,-130.1015,17.24,53,3,9.24,PN,1692497277
2,albany,42.6001,-73.9662,18.23,73,4,3.03,US,1692497270
3,coquimbo,-29.9533,-71.3436,15.85,72,20,3.09,CL,1692496875
4,waitangi,-43.9535,-176.5597,12.12,95,100,4.92,NZ,1692497336
5,grytviken,-54.2811,-36.5092,-5.61,82,10,2.36,GS,1692497556
6,avarua,-21.2078,-159.775,23.03,64,100,3.6,CK,1692497557
7,illizi,26.4833,8.4667,26.89,17,16,4.21,DZ,1692497557
8,mitrofanovka,49.9708,39.6939,20.73,46,0,2.23,RU,1692497557
9,pisco,-13.7,-76.2167,19.03,68,0,2.57,PE,1692497558
10,edinburgh of the seven seas,-37.0676,-12.3116,10.23,67,100,16.05,SH,1692497558
11,yellowknife,62.456,-114.3525,16.9,68,75,6.17,CA,1692497559
12,dunedin,-45.8742,170.5036,12.82,58,99,2.06,NZ,1692497560
13,caconda,-13.7333,15.0667,15.33,20,0,0.77,AO,1692497560
14,edson,53.5835,-116.4356,16.08,51,0,1.03,CA,1692497561
15,longyearbyen,78.2186,15.6401,5.91,81,75,4.12,SJ,1692497561
16,ponta delgada,37.7333,-25.6667,20.4,88,20,1.54,PT,1692497562
17,svetlyy,54.675,20.1347,19.98,77,57,0.92,RU,1692497562
18,puerto natales,-51.7236,-72.4875,0.31,84,99,1.23,CL,1692497563
19,udachny,66.4167,112.4,14.14,50,82,7.44,RU,1692497563
20,college,64.8569,-147.8028,16.22,74,100,4.12,US,1692497564
21,callao,-12.0667,-77.15,21.16,68,40,4.12,PE,1692497445
22,qusmuryn,52.4503,64.6311,18.84,84,66,3.6,KZ,1692497565
23,west island,-12.1568,96.8225,24.99,73,40,6.17,CC,1692497565
24,klyuchi,52.2667,79.1667,21.87,46,9,3.58,RU,1692497566
25,arkhangel'sk,64.5401,40.5433,9.26,79,97,1.68,RU,1692497566
26,pinhao,-25.6956,-51.6597,8.53,92,1,1.42,BR,1692497566
27,lihue,21.9789,-159.3672,30.58,62,40,7.72,US,1692497567
28,mahdishahr,35.7108,53.3556,20.13,47,36,2.08,IR,1692497568
29,vilyuysk,63.7553,121.6247,19.89,46,16,4.68,RU,1692497568
30,saipan,15.1355,145.701,31.39,100,40,4.12,MP,1692497568
31,anadyr,64.75,177.4833,13.28,54,20,5.0,RU,1692497569
32,iskateley,67.6803,53.1512,5.81,93,100,7.33,RU,1692497475
33,port-aux-francais,-49.35,70.2167,1.33,99,100,8.41,TF,1692497569
34,tiksi,71.6872,128.8694,3.84,85,100,4.14,RU,1692497570
35,port augusta,-32.5,137.7667,18.31,57,0,2.19,AU,1692497570
36,blackmans bay,-43.0167,147.3167,15.07,59,77,3.2,AU,1692497570
37,bethel,41.3712,-73.414,20.38,79,0,0.0,US,1692497283
38,jutai,-5.1833,-68.9,24.32,91,96,1.29,BR,1692497571
39,tura,25.5198,90.2201,25.84,92,100,2.43,IN,1692497571
40,wailua homesteads,22.0669,-159.378,30.24,70,40,7.72,US,1692497571
41,almenara,-16.1836,-40.6944,20.16,89,14,1.39,BR,1692497572
42,boise,43.6135,-116.2035,28.29,59,100,2.24,US,1692497511
43,bilibino,68.0546,166.4372,6.11,65,100,2.32,RU,1692497572
44,atafu village,-8.5421,-172.5159,28.71,72,16,7.94,TK,1692497573
45,topeka,39.0483,-95.678,33.39,50,0,4.63,US,1692497390
46,humaita,-7.5061,-63.0208,26.59,53,98,1.12,BR,1692497409
47,margaret river,-33.95,115.0667,15.35,66,100,5.79,AU,1692497573
48,cabo san lucas,22.8909,-109.9124,28.62,88,100,10.29,MX,1692497162
49,kailua-kona,19.6406,-155.9956,25.89,92,29,0.45,US,1692497336
50,mount gambier,-37.8333,140.7667,13.44,82,100,3.42,AU,1692497574
51,egilsstadir,65.2653,-14.3948,8.95,93,100,5.14,IS,1692497574
52,maiyama,12.0841,4.3677,23.86,91,53,2.54,NG,1692497575
53,arraial do cabo,-22.9661,-42.0278,21.37,91,24,4.83,BR,1692497575
54,wenchang,30.904,118.4887,30.75,63,0,1.39,CN,1692497575
55,ushuaia,-54.8,-68.3,3.81,81,40,0.0,AR,1692497575
56,suoyarvi,62.0833,32.35,8.46,88,74,1.96,RU,1692497576
57,papatowai,-46.5619,169.4708,11.0,67,92,4.52,NZ,1692497576
58,anjozorobe,-18.4,47.8667,13.72,75,28,0.49,MG,1692497576
59,toamasina,-18.1667,49.3833,17.0,94,20,2.06,MG,1692497577
60,zalari,53.5584,102.5065,14.88,67,100,3.39,RU,1692497577
61,wellington,-41.2866,174.7756,13.92,89,75,9.26,NZ,1692497378
62,holualoa,19.6228,-155.9522,23.82,92,28,0.45,US,1692497577
63,touros,-5.1989,-35.4608,24.03,87,0,3.76,BR,1692497332
64,fort-shevchenko,44.5086,50.263,26.3,77,9,5.43,KZ,1692497578
65,bamboo flat,11.7,92.7167,29.05,79,40,4.12,IN,1692497578
66,zaozersk,69.4005,32.4476,7.48,85,100,8.18,RU,1692497578
67,geraldton,-28.7667,114.6,14.23,88,1,4.63,AU,1692497493
68,jiamusi,46.8333,130.35,23.91,62,1,2.37,CN,1692497579
69,tazovsky,67.4667,78.7,11.47,64,100,4.51,RU,1692497579
70,umm kaddadah,13.6017,26.6876,29.54,55,100,6.39,SD,1692497579
71,bol,13.4586,14.7147,27.58,76,100,4.19,TD,1692497580
72,aasiaat,68.7098,-52.8699,4.05,98,100,0.8,GL,1692497580
73,nabire,-3.3667,135.4833,26.82,83,90,0.47,ID,1692497580
74,eenhana,-17.4667,16.3333,16.65,23,15,2.64,NA,1692497581
75,dongola,19.1667,30.4833,33.57,17,0,4.49,SD,1692497581
76,tazacorte,28.629,-17.9293,24.54,57,0,4.63,ES,1692497582
77,hamilton,39.1834,-84.5333,24.43,69,0,4.12,US,1692497260
78,choibalsan,48.0667,114.5,18.49,50,100,3.82,MN,1692497583
79,samut songkhram,13.4,99.9583,28.4,73,100,2.91,TH,1692497584
80,stanley,54.868,-1.6985,15.16,88,20,4.12,GB,1692497585
81,skowhegan,44.7651,-69.7192,18.31,92,100,1.97,US,1692497586
82,constantia,44.1833,28.65,21.5,59,7,4.42,RO,1692497587
83,papao,-17.75,-149.55,26.82,70,3,4.35,PF,1692497588
84,iqaluit,63.7506,-68.5145,5.85,93,100,4.12,CA,1692497589
85,keflavik,64.0049,-22.5624,11.24,93,0,5.66,IS,1692497590
86,coari,-4.085,-63.1414,27.58,53,91,0.31,BR,1692497591
87,calbuco,-41.768,-73.1273,9.56,94,100,5.59,CL,1692497591
88,punta arenas,-53.15,-70.9167,2.15,89,98,2.98,CL,1692497592
89,garoowe,8.4054,48.4845,24.03,60,80,10.22,SO,1692497593
90,kiunga,-6.1219,141.2906,27.48,60,92,2.43,PG,1692497593
91,tokar,18.4254,37.729,36.32,35,100,5.87,SD,1692497594
